BlockSize_m,VoxelSize_m,LayerType,Clear,IndexX,IndexY,IndexZ,CenterX,CenterY,CenterZ,ColorR,ColorG,ColorB,ColorA
0.4,0.05,2,0,3,1,-2,1.425,0.525,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.425,0.575,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.425,0.575,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.425,0.625,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.425,0.625,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.425,0.675,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.425,0.675,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.425,0.725,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.425,0.725,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.425,0.775,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.425,0.775,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.475,0.425,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.475,0.425,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.475,0.475,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.475,0.475,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.475,0.525,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.475,0.525,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.475,0.575,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.475,0.575,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.475,0.625,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.475,0.625,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.475,0.675,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.475,0.675,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.475,0.725,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.475,0.725,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.475,0.775,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.475,0.775,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.525,0.425,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.525,0.425,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.525,0.475,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.525,0.475,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.525,0.525,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.525,0.525,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.525,0.575,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.525,0.575,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.525,0.625,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.525,0.625,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.525,0.675,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.525,0.675,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.525,0.725,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.525,0.725,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.525,0.775,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.525,0.775,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.575,0.425,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.575,0.475,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.575,0.525,-0.525,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.575,0.525,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.575,0.575,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.575,0.575,-0.425,0.498039,0.498039,0.498039,1
