BlockSize_m,VoxelSize_m,LayerType,Clear,IndexX,IndexY,IndexZ,CenterX,CenterY,CenterZ,ColorR,ColorG,ColorB,ColorA
0.4,0.05,2,0,4,1,0,1.775,0.525,0.075,0.447059,0.447059,0.454902,1
0.4,0.05,2,0,4,1,0,1.775,0.525,0.125,0.447059,0.454902,0.462745,1
0.4,0.05,2,0,4,1,0,1.775,0.525,0.175,0.439216,0.45098,0.45098,1
0.4,0.05,2,0,4,1,0,1.775,0.525,0.225,0.427451,0.439216,0.439216,1
0.4,0.05,2,0,4,1,0,1.775,0.525,0.275,0.407843,0.423529,0.427451,1
0.4,0.05,2,0,4,1,0,1.775,0.525,0.325,0.407843,0.431373,0.435294,1
0.4,0.05,2,0,4,1,0,1.775,0.525,0.375,0.411765,0.439216,0.439216,1
0.4,0.05,2,0,4,1,0,1.775,0.575,0.025,0.415686,0.423529,0.423529,1
0.4,0.05,2,0,4,1,0,1.775,0.575,0.075,0.431373,0.439216,0.443137,1
0.4,0.05,2,0,4,1,0,1.775,0.575,0.125,0.435294,0.45098,0.454902,1
0.4,0.05,2,0,4,1,0,1.775,0.575,0.175,0.458824,0.466667,0.470588,1
0.4,0.05,2,0,4,1,0,1.775,0.575,0.225,0.435294,0.45098,0.454902,1
0.4,0.05,2,0,4,1,0,1.775,0.575,0.275,0.384314,0.411765,0.411765,1
0.4,0.05,2,0,4,1,0,1.775,0.575,0.325,0.4,0.427451,0.423529,1
0.4,0.05,2,0,4,1,0,1.775,0.575,0.375,0.396078,0.431373,0.427451,1
0.4,0.05,2,0,4,1,0,1.775,0.625,0.025,0.388235,0.403922,0.4,1
0.4,0.05,2,0,4,1,0,1.775,0.625,0.075,0.388235,0.407843,0.407843,1
0.4,0.05,2,0,4,1,0,1.775,0.625,0.125,0.396078,0.419608,0.419608,1
0.4,0.05,2,0,4,1,0,1.775,0.625,0.175,0.427451,0.447059,0.45098,1
0.4,0.05,2,0,4,1,0,1.775,0.625,0.225,0.396078,0.427451,0.427451,1
0.4,0.05,2,0,4,1,0,1.775,0.625,0.275,0.372549,0.407843,0.411765,1
0.4,0.05,2,0,4,1,0,1.775,0.625,0.325,0.388235,0.423529,0.419608,1
0.4,0.05,2,0,4,1,0,1.775,0.625,0.375,0.4,0.435294,0.435294,1
0.4,0.05,2,0,4,1,0,1.775,0.675,0.025,0.380392,0.407843,0.4,1
0.4,0.05,2,0,4,1,0,1.775,0.675,0.075,0.380392,0.407843,0.4,1
0.4,0.05,2,0,4,1,0,1.775,0.675,0.125,0.372549,0.4,0.396078,1
0.4,0.05,2,0,4,1,0,1.775,0.675,0.175,0.388235,0.419608,0.415686,1
0.4,0.05,2,0,4,1,0,1.775,0.675,0.225,0.376471,0.411765,0.411765,1
0.4,0.05,2,0,4,1,0,1.775,0.675,0.275,0.368627,0.407843,0.403922,1
0.4,0.05,2,0,4,1,0,1.775,0.675,0.325,0.376471,0.423529,0.419608,1
0.4,0.05,2,0,4,1,0,1.775,0.675,0.375,0.388235,0.431373,0.435294,1
0.4,0.05,2,0,4,1,0,1.775,0.725,0.025,0.360784,0.392157,0.380392,1
0.4,0.05,2,0,4,1,0,1.775,0.725,0.075,0.364706,0.4,0.388235,1
0.4,0.05,2,0,4,1,0,1.775,0.725,0.125,0.360784,0.4,0.384314,1
0.4,0.05,2,0,4,1,0,1.775,0.725,0.175,0.34902,0.388235,0.380392,1
0.4,0.05,2,0,4,1,0,1.775,0.725,0.225,0.352941,0.396078,0.392157,1
0.4,0.05,2,0,4,1,0,1.775,0.725,0.275,0.372549,0.415686,0.411765,1
0.4,0.05,2,0,4,1,0,1.775,0.725,0.325,0.372549,0.423529,0.415686,1
0.4,0.05,2,0,4,1,0,1.775,0.725,0.375,0.380392,0.435294,0.431373,1
0.4,0.05,2,0,4,1,0,1.775,0.775,0.025,0.34902,0.388235,0.376471,1
0.4,0.05,2,0,4,1,0,1.775,0.775,0.075,0.341176,0.388235,0.372549,1
